Volume,Sec_Length,Sec_Breadth,Sec_Height,Prim_Flap,Prim_Cal,Prim_E1,Prim_E2,Headspace,Sec_Flap,Sec_E1_Th,Sec_E2_th,TopLoad
117.96875,12.5,6,9.4375,1.6,18,5029.933,1050,0.75,3,1674,1137.6,479.9175441
258.9743059,15.312,7.92,12.813,2.112,18,5029.933,1050,0.75,3.96,1674,1137.6,495.9400701
386.802,19,9.048,13.5,1.8096,18,5029.933,1050,0.75,4,1674,1137.6,567.657544
386.802,19,9.048,13.5,1.8096,18,5029.933,1050,0.75,4,2556,1527,703.0906415
386.802,19,9.048,13.5,1.8096,24,5029.933,1050,0.75,4,2556,1527,864.6202439
386.802,19,9.048,13.5,2.4128,18,5029.933,1050,0.75,4,1674,1137.6,577.342937
386.802,19,9.048,13.5,2.4128,18,5029.933,1050,0.75,4,2556,1527,692.4283502
386.802,19,9.048,13.5,2.4128,18,5029.933,1050,0.75,4.524,1674,1137.6,529.6548339
386.802,19,9.048,13.5,1.8096,18,5029.933,1050,0,4,1674,1137.6,612.2695618
386.802,19,9.048,13.5,1.8096,18,5029.933,1050,0,4,2556,1527,724.7275747
386.802,19,9.048,13.5,1.8096,24,5029.933,1050,0,4.524,2556,1527,982.3879973
258.9743059,15.312,7.92,12.813,1.584,24,3979.133,1437.867,0.75,3.96,2556,1527,921.5639904
386.802,19,9.048,13.5,1.8096,18,3979.133,1437.867,0.75,4,2556,1527,710.2703691
386.802,19,9.048,13.5,1.8096,24,3979.133,1437.867,0.75,4.524,2556,1527,871.8556798
117.96875,12.5,6,9.4375,1.2,24,3979.133,1437.867,0,3,2556,1527,863.9755097
117.96875,12.5,6,9.4375,1.6,18,3979.133,1437.867,0,3,1674,1137.6,630.9007174
117.96875,12.5,6,9.4375,1.6,18,3979.133,1437.867,0,3,2556,1527,783.0977277
117.96875,12.5,6,9.4375,1.6,24,3979.133,1437.867,0,3,1674,1137.6,791.6650033
117.96875,12.5,6,9.4375,1.6,24,3979.133,1437.867,0,3,2556,1527,911.0973092
258.9743059,15.312,7.92,12.813,1.584,24,3979.133,1437.867,0,3.96,2556,1527,945.6450079
258.9743059,15.312,7.92,12.813,2.112,18,3979.133,1437.867,0,3.96,1674,1137.6,693.0246758
258.9743059,15.312,7.92,12.813,2.112,18,3979.133,1437.867,0,3.96,2556,1527,812.6925482
258.9743059,15.312,7.92,12.813,2.112,24,3979.133,1437.867,0,3.96,1674,1137.6,855.8322757
386.802,19,9.048,13.5,1.8096,18,3979.133,1437.867,0,4.524,2556,1527,759.5231341
386.802,19,9.048,13.5,1.8096,24,3979.133,1437.867,0,4.524,1674,1137.6,835.4222968
386.802,19,9.048,13.5,1.8096,24,3979.133,1437.867,0,4.524,2556,1527,904.0055622
386.802,19,9.048,13.5,2.4128,24,3979.133,1437.867,0,4,2556,1527,921.1672815
386.802,19,9.048,13.5,2.4128,24,3979.133,1437.867,0,4.524,2556,1527,913.5499008
117.96875,12.5,8,9.4375,1.2,18,5029.933,1050,0.75,4,1674,1137.6,496.8129613
117.96875,12.5,8,9.4375,1.2,18,5029.933,1050,0.75,4,2556,1527,645.101116
117.96875,12.5,8,9.4375,1.2,24,5029.933,1050,0.75,4,1674,1137.6,673.3938995
117.96875,12.5,8,9.4375,1.2,24,5029.933,1050,0.75,4,2556,1527,812.2722937
117.96875,12.5,8,9.4375,1.2,18,5029.933,1050,0.75,4.5,1674,1137.6,527.1989492
117.96875,12.5,8,9.4375,1.2,18,5029.933,1050,0.75,4.5,2556,1527,606.7283712
117.96875,12.5,8,9.4375,1.2,24,5029.933,1050,0.75,4.5,1674,1137.6,707.3001571
117.96875,12.5,8,9.4375,1.2,24,5029.933,1050,0.75,4.5,2556,1527,797.5579519
117.96875,12.5,8,9.4375,1.6,18,5029.933,1050,0.75,4,1674,1137.6,623.681747
117.96875,12.5,8,9.4375,1.6,18,5029.933,1050,0.75,4,2556,1527,738.8913101
117.96875,12.5,8,9.4375,1.6,24,5029.933,1050,0.75,4,1674,1137.6,843.7549939
117.96875,12.5,8,9.4375,1.6,24,5029.933,1050,0.75,4,2556,1527,941.3442186
117.96875,12.5,8,9.4375,1.6,18,5029.933,1050,0.75,4.5,1674,1137.6,508.3532481
117.96875,12.5,8,9.4375,1.6,18,5029.933,1050,0.75,4.5,2556,1527,600.5363542
117.96875,12.5,8,9.4375,1.6,24,5029.933,1050,0.75,4.5,1674,1137.6,749.7446561
117.96875,12.5,8,9.4375,1.6,24,5029.933,1050,0.75,4.5,2556,1527,788.7913888
258.9743059,15.312,10.56,12.813,1.584,18,5029.933,1050,0.75,4,1674,1137.6,595.2201921
258.9743059,15.312,10.56,12.813,1.584,18,5029.933,1050,0.75,4,2556,1527,675.9169085
258.9743059,15.312,10.56,12.813,1.584,24,5029.933,1050,0.75,4,1674,1137.6,801.4141727
258.9743059,15.312,10.56,12.813,1.584,24,5029.933,1050,0.75,4,2556,1527,886.3593181
258.9743059,15.312,10.56,12.813,1.584,18,5029.933,1050,0.75,5.28,1674,1137.6,605.7498812
258.9743059,15.312,10.56,12.813,1.584,18,5029.933,1050,0.75,5.28,2556,1527,695.2579468
258.9743059,15.312,10.56,12.813,1.584,24,5029.933,1050,0.75,5.28,1674,1137.6,817.9385672
258.9743059,15.312,10.56,12.813,1.584,24,5029.933,1050,0.75,5.28,2556,1527,887.9093257
258.9743059,15.312,10.56,12.813,2.112,18,5029.933,1050,0.75,4,1674,1137.6,652.3068043
258.9743059,15.312,10.56,12.813,2.112,18,5029.933,1050,0.75,4,2556,1527,839.4312626
258.9743059,15.312,10.56,12.813,2.112,24,5029.933,1050,0.75,4,1674,1137.6,858.041068
258.9743059,15.312,10.56,12.813,2.112,24,5029.933,1050,0.75,4,2556,1527,1064.107715
258.9743059,15.312,10.56,12.813,2.112,18,5029.933,1050,0.75,5.28,1674,1137.6,604.9654647
258.9743059,15.312,10.56,12.813,2.112,18,5029.933,1050,0.75,5.28,2556,1527,672.0167248
258.9743059,15.312,10.56,12.813,2.112,24,5029.933,1050,0.75,5.28,1674,1137.6,821.687378
258.9743059,15.312,10.56,12.813,2.112,24,5029.933,1050,0.75,5.28,2556,1527,910.1649776
386.802,19,12.064,13.5,1.8096,18,5029.933,1050,0.75,4,1674,1137.6,648.4936682
386.802,19,12.064,13.5,1.8096,18,5029.933,1050,0.75,4,2556,1527,724.5459053
386.802,19,12.064,13.5,1.8096,24,5029.933,1050,0.75,4,1674,1137.6,871.5265893
386.802,19,12.064,13.5,1.8096,24,5029.933,1050,0.75,4,2556,1527,987.1778121
386.802,19,12.064,13.5,1.8096,18,5029.933,1050,0.75,6.032,1674,1137.6,681.0829051
386.802,19,12.064,13.5,1.8096,18,5029.933,1050,0.75,6.032,2556,1527,748.8232465
386.802,19,12.064,13.5,1.8096,24,5029.933,1050,0.75,6.032,1674,1137.6,896.2006943
386.802,19,12.064,13.5,1.8096,24,5029.933,1050,0.75,6.032,2556,1527,988.4457656
386.802,19,12.064,13.5,2.4128,18,5029.933,1050,0.75,4,1674,1137.6,747.1093523
386.802,19,12.064,13.5,2.4128,18,5029.933,1050,0.75,4,2556,1527,851.3379069
386.802,19,12.064,13.5,2.4128,24,5029.933,1050,0.75,4,1674,1137.6,944.1870425
386.802,19,12.064,13.5,2.4128,24,5029.933,1050,0.75,4,2556,1527,1075.07857
386.802,19,12.064,13.5,2.4128,18,5029.933,1050,0.75,6.032,1674,1137.6,644.0920002
386.802,19,12.064,13.5,2.4128,18,5029.933,1050,0.75,6.032,2556,1527,710.4755293
386.802,19,12.064,13.5,2.4128,24,5029.933,1050,0.75,6.032,1674,1137.6,868.7990788
386.802,19,12.064,13.5,2.4128,24,5029.933,1050,0.75,6.032,2556,1527,953.1890623
117.96875,12.5,8,9.4375,1.2,18,5029.933,1050,0,4,1674,1137.6,633.4718057
117.96875,12.5,8,9.4375,1.2,24,5029.933,1050,0,4,1674,1137.6,787.5941821
117.96875,12.5,8,9.4375,1.2,18,5029.933,1050,0,4.5,1674,1137.6,654.8620308
117.96875,12.5,8,9.4375,1.2,18,5029.933,1050,0,4.5,2556,1527,722.8654361
117.96875,12.5,8,9.4375,1.2,24,5029.933,1050,0,4.5,1674,1137.6,818.1734202
117.96875,12.5,8,9.4375,1.2,24,5029.933,1050,0,4.5,2556,1527,970.0375528
117.96875,12.5,8,9.4375,1.6,18,5029.933,1050,0,4,1674,1137.6,693.0568933
117.96875,12.5,8,9.4375,1.6,18,5029.933,1050,0,4,2556,1527,763.4060839
117.96875,12.5,8,9.4375,1.6,24,5029.933,1050,0,4,2556,1527,961.1394853
117.96875,12.5,8,9.4375,1.6,18,5029.933,1050,0,4.5,1674,1137.6,689.0025925
117.96875,12.5,8,9.4375,1.6,24,5029.933,1050,0,4.5,2556,1527,931.5099225
258.9743059,15.312,10.56,12.813,1.584,18,5029.933,1050,0,4,1674,1137.6,711.3932615
258.9743059,15.312,10.56,12.813,1.584,18,5029.933,1050,0,4,2556,1527,798.4371549
258.9743059,15.312,10.56,12.813,1.584,24,5029.933,1050,0,4,1674,1137.6,904.220437
258.9743059,15.312,10.56,12.813,1.584,24,5029.933,1050,0,4,2556,1527,1004.78163
258.9743059,15.312,10.56,12.813,1.584,18,5029.933,1050,0,5.28,1674,1137.6,737.2880092
258.9743059,15.312,10.56,12.813,1.584,18,5029.933,1050,0,5.28,2556,1527,828.7434498
258.9743059,15.312,10.56,12.813,1.584,24,5029.933,1050,0,5.28,1674,1137.6,940.9012965
258.9743059,15.312,10.56,12.813,1.584,24,5029.933,1050,0,5.28,2556,1527,1007.486254
258.9743059,15.312,10.56,12.813,2.112,18,5029.933,1050,0,4,1674,1137.6,734.2157659
258.9743059,15.312,10.56,12.813,2.112,18,5029.933,1050,0,4,2556,1527,840.2261622
258.9743059,15.312,10.56,12.813,2.112,24,5029.933,1050,0,4,1674,1137.6,936.8606621
258.9743059,15.312,10.56,12.813,2.112,24,5029.933,1050,0,4,2556,1527,1037.32888
258.9743059,15.312,10.56,12.813,2.112,18,5029.933,1050,0,5.28,1674,1137.6,714.2534841
